TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
4271420984422,3695,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
4271426616202,3695,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
4271427155133,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271427316910,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271427326312,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271428304897,3695,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
4271428331715,3695,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
4271441529170,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271441639417,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271441647030,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271441681537,3695,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
4271441695628,3695,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
4271441952500,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271442034760,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271442041890,3695,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
4271443084811,3695,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
4271443099542,3695,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
4271443356833,3695,0,0,0,0,0,0,0,/proc/self/status
4271443396588,3695,0,0,0,0,0,0,0,/proc/mounts
4272445728542,523,0,0,0,0,0,0,0,/etc/resolv.conf
4272445849150,1,0,0,0,0,0,0,0,/proc/523/cgroup
4272445899008,532,0,0,0,0,0,0,0,/etc/hosts
4272549606220,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
4272551320883,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
4272551657545,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
4272552043604,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-minimize-symbolic
