TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
2640296005632,3100,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
2640301574196,3100,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
2640302088560,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640302347205,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640302357034,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640303367822,3100,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
2640303433733,3100,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
2640317774776,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640317887575,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640317895399,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640317931554,3100,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
2640317944881,3100,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
2640318200245,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640318286681,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640318293800,3100,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2640319263999,3100,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
2640319277898,3100,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
2640319530130,3100,0,0,0,0,0,0,0,/proc/self/status
2640319569598,3100,0,0,0,0,0,0,0,/proc/mounts
2640478653272,523,0,0,0,0,0,0,0,/etc/resolv.conf
2640478767245,532,0,0,0,0,0,0,0,/etc/hosts
2640478786612,1,0,0,0,0,0,0,0,/proc/523/cgroup
2641844240835,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
