TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
9971964973327,4892,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
9971970475017,4892,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
9971970993929,4892,0,0,0,0,0,0,0,/usr/lib/
9971971209312,4892,0,0,0,0,0,0,0,/usr/lib/linux-hwe-5.15-tools-5.15.0-71
9971971250647,4892,0,0,0,0,0,0,0,/usr/lib/python2.7
9971971276881,4892,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages
9971971344123,4892,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi
9971971363332,4892,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi/overrides
9971971385671,4892,0,0,0,0,0,0,0,/usr/lib/python3.8
9971971594864,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/collections
9971971612465,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/collections/__pycache__
9971971634309,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib-dynload
9971971691890,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/curses
9971971713968,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/curses/__pycache__
9971971731966,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings
9971971837688,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings/__pycache__
9971971985412,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest
9971972013314,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest/__pycache__
9971972049771,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib
9971972079827,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib/__pycache__
9971972105830,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/html
9971972125758,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/html/__pycache__
9971972145851,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref
9971972167286,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref/__pycache__
9971972192698,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml
9971972222469,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom
9971972248731,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom/__pycache__
9971972274123,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax
9971972295076,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax/__pycache__
9971972318555,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree
9971972340111,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree/__pycache__
9971972364521,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/__pycache__
9971972384865,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers
9971972404421,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers/__pycache__
9971972426252,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/logging
9971972445818,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/logging/__pycache__
9971972461056,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib
9971972480033,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib/__pycache__
9971972499049,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xmlrpc
9971972521142,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/xmlrpc/__pycache__
9971972541425,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/dbm
9971972560840,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/dbm/__pycache__
9971972582890,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/http
9971972608255,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/http/__pycache__
9971972625729,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3
9971972650161,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/pgen2
9971972678177,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/pgen2/__pycache__
9971972705397,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/__pycache__
9971972728301,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/fixes
9971972784711,4892,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/fixes/__pycache__
9971972847517,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/sqlite3
9971972865667,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/sqlite3/__pycache__
9971972886659,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/__pycache__
9971973099606,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing
9971973141221,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/__pycache__
9971973173288,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/dummy
9971973189583,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/dummy/__pycache__
9971973205598,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/config-3.8-x86_64-linux-gnu
9971973260851,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils
9971973302975,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils/command
9971973345441,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils/command/__pycache__
9971973380305,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils/__pycache__
9971973419024,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/asyncio
9971973457324,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/asyncio/__pycache__
9971973492050,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/ctypes
9971973509441,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/ctypes/__pycache__
9971973530822,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/pydoc_data
9971973546324,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/pydoc_data/__pycache__
9971973560450,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/json
9971973577793,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/json/__pycache__
9971973594022,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/email
9971973631071,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/email/__pycache__
9971973663041,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/email/mime
9971973690958,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/email/mime/__pycache__
9971973715133,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/venv
9971973734304,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/__pycache__
9971973752599,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/scripts
9971973769794,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/scripts/common
9971973789146,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/scripts/posix
9971973810176,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent
9971973827996,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent/__pycache__
9971973845037,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent/futures
9971973862225,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent/futures/__pycache__
9971973884980,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/test
9971973905268,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/test/libregrtest
9971973926233,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/test/libregrtest/__pycache__
9971973951329,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/test/support
9971973970069,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/test/support/__pycache__
9971973989941,4892,0,1,0,0,1,0,1,/usr/lib/python3.8/test/__pycache__
9971974020133,4892,0,1,0,0,1,0,1,/usr/lib/binfmt.d
9971974039470,4892,0,1,0,0,1,0,1,/usr/lib/ispell
9971974053146,4892,0,1,0,0,1,0,1,/usr/lib/debug
9971974074869,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id
9971974210732,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/08
9971974229221,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/22
9971974243421,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/d6
9971974262712,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/56
9971974276376,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/48
9971974289342,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/e6
9971974307866,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/88
9971974325434,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/44
9971974342445,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/20
9971974359653,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/57
9971974378143,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/73
9971974394473,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/53
9971974413252,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/34
9971974430640,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/d7
9971974448748,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/b3
9971974465797,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/fc
9971974488227,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/8a
9971974507358,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/66
9971974525298,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/2c
9971974542879,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/5b
9971974561270,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/41
9971974578497,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/58
9971974600730,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/42
9971974617404,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/8c
9971974635990,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/11
9971974652148,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/0e
9971974670011,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/bc
9971974686162,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/3b
9971974702993,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/92
9971974720684,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/0c
9971974742700,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/9a
9971974758755,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/4e
9971974773752,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/a8
9971974786835,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/70
9971974801027,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/ff
9971974814013,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/ed
9971974827636,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/8b
9971974842163,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/93
9971974860039,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/b6
9971974877535,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/7a
9971974896201,4892,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/b7
