TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
9832957352021,4872,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
9832962876877,4872,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
9832963310470,4872,0,0,0,0,0,0,0,/usr/lib/
9832963519334,4872,0,0,0,0,0,0,0,/usr/lib/linux-hwe-5.15-tools-5.15.0-71
9832963560733,4872,0,0,0,0,0,0,0,/usr/lib/python2.7
9832963587099,4872,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages
9832963648532,4872,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi
9832963666923,4872,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi/overrides
9832963688795,4872,0,0,0,0,0,0,0,/usr/lib/python3.8
9832963921895,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/collections
9832963944128,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/collections/__pycache__
9832963967542,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib-dynload
9832964026147,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/curses
9832964048229,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/curses/__pycache__
9832964076327,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings
9832964178892,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings/__pycache__
9832964290728,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest
9832964315437,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest/__pycache__
9832964349927,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib
9832964378866,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib/__pycache__
9832964406501,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/html
9832964425384,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/html/__pycache__
9832964444395,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref
9832964464968,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref/__pycache__
9832964489058,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml
9832964518799,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom
9832964544772,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom/__pycache__
9832964569690,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax
9832964589865,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax/__pycache__
9832964611702,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree
9832964631991,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree/__pycache__
9832964657669,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/__pycache__
9832964680082,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers
9832964699591,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers/__pycache__
9832964721504,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/logging
9832964740985,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/logging/__pycache__
9832964756010,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib
9832964774871,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib/__pycache__
9832964793193,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xmlrpc
9832964811632,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/xmlrpc/__pycache__
9832964832634,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/dbm
9832964852140,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/dbm/__pycache__
9832964871098,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/http
9832964895571,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/http/__pycache__
9832964912450,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3
9832964936504,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/pgen2
9832964963596,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/pgen2/__pycache__
9832964990757,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/__pycache__
9832965065239,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/fixes
9832965128839,4872,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/fixes/__pycache__
9832965194080,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/sqlite3
9832965212764,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/sqlite3/__pycache__
9832965233555,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/__pycache__
9832965384883,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing
9832965421020,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/__pycache__
9832965450651,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/dummy
9832965465821,4872,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/dummy/__pycache__
