TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
9850087787033,4880,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
9850093320357,4880,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
9850093839855,4880,0,0,0,0,0,0,0,/usr/lib/
9850094050156,4880,0,0,0,0,0,0,0,/usr/lib/linux-hwe-5.15-tools-5.15.0-71
9850094091336,4880,0,0,0,0,0,0,0,/usr/lib/python2.7
9850094117549,4880,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages
9850094181848,4880,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi
9850094200432,4880,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi/overrides
9850094221742,4880,0,0,0,0,0,0,0,/usr/lib/python3.8
9850094426930,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/collections
9850094444001,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/collections/__pycache__
9850094465540,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/lib-dynload
9850094522303,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/curses
9850094543686,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/curses/__pycache__
9850094563919,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings
9850094663119,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings/__pycache__
9850094773563,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest
9850094797758,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest/__pycache__
9850094831536,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib
9850094862153,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib/__pycache__
9850094888874,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/html
9850094907190,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/html/__pycache__
9850094926030,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref
9850094946286,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref/__pycache__
9850094970244,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml
9850094999328,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom
9850095024942,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom/__pycache__
9850095050158,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax
9850095071226,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax/__pycache__
9850095093435,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree
9850095113615,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree/__pycache__
9850095138784,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/__pycache__
9850095161021,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers
9850095180885,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers/__pycache__
9850095199340,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/logging
9850095218678,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/logging/__pycache__
9850095233957,4880,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib
