TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
10099867081917,5066,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
10099872590863,5066,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
10099873002035,5066,0,0,0,0,0,0,0,/usr/lib/
10099873226614,5066,0,0,0,0,0,0,0,/usr/lib/linux-hwe-5.15-tools-5.15.0-71
10099873253380,5066,0,0,0,0,0,0,0,/usr/lib/python2.7
10099873269111,5066,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages
10099873289355,5066,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi
10099873303126,5066,0,0,0,0,0,0,0,/usr/lib/python2.7/dist-packages/gi/overrides
10099873319349,5066,0,0,0,0,0,0,0,/usr/lib/python3.8
10099873487576,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/collections
10099873503226,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/collections/__pycache__
10099873518620,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib-dynload
10099873571641,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/curses
10099873591959,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/curses/__pycache__
10099873610158,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings
10099873712272,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/encodings/__pycache__
10099873832634,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest
10099873857059,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/unittest/__pycache__
10099873880444,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib
10099873898576,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/urllib/__pycache__
10099873915782,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/html
10099873930491,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/html/__pycache__
10099873945593,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref
10099873962446,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/wsgiref/__pycache__
10099873979702,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml
10099873996576,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom
10099874015827,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/dom/__pycache__
10099874034165,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax
10099874050912,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/sax/__pycache__
10099874067688,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree
10099874083662,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/etree/__pycache__
10099874100264,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/__pycache__
10099874113907,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers
10099874128160,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xml/parsers/__pycache__
10099874143116,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/logging
10099874163492,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/logging/__pycache__
10099874178541,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib
10099874197717,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/importlib/__pycache__
10099874221815,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xmlrpc
10099874236926,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/xmlrpc/__pycache__
10099874251336,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/dbm
10099874266230,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/dbm/__pycache__
10099874281302,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/http
10099874297970,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/http/__pycache__
10099874313922,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3
10099874337615,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/pgen2
10099874357113,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/pgen2/__pycache__
10099874376300,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/__pycache__
10099874396681,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/fixes
10099874447366,5066,0,0,0,0,0,0,0,/usr/lib/python3.8/lib2to3/fixes/__pycache__
10099874501692,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/sqlite3
10099874518358,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/sqlite3/__pycache__
10099874533298,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/__pycache__
10099874671425,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing
10099874702616,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/__pycache__
10099874731415,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/dummy
10099874746519,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/multiprocessing/dummy/__pycache__
10099874761836,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/config-3.8-x86_64-linux-gnu
10099874788162,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils
10099874823005,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils/command
10099874854019,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils/command/__pycache__
10099874884519,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/distutils/__pycache__
10099874918845,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/asyncio
10099874952636,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/asyncio/__pycache__
10099874987222,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/ctypes
10099875004564,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/ctypes/__pycache__
10099875021671,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/pydoc_data
10099875037125,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/pydoc_data/__pycache__
10099875051189,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/json
10099875067569,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/json/__pycache__
10099875090686,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/email
10099875119647,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/email/__pycache__
10099875146752,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/email/mime
10099875166132,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/email/mime/__pycache__
10099875185808,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/venv
10099875200534,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/__pycache__
10099875272576,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/scripts
10099875298996,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/scripts/common
10099875315445,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/venv/scripts/posix
10099875331047,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent
10099875345732,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent/__pycache__
10099875359473,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent/futures
10099875376296,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/concurrent/futures/__pycache__
10099875392468,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/test
10099875411484,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/test/libregrtest
10099875432634,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/test/libregrtest/__pycache__
10099875453644,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/test/support
10099875468938,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/test/support/__pycache__
10099875484079,5066,0,1,0,0,1,0,1,/usr/lib/python3.8/test/__pycache__
10099875503893,5066,0,1,0,0,1,0,1,/usr/lib/binfmt.d
10099875516855,5066,0,1,0,0,1,0,1,/usr/lib/ispell
10099875529734,5066,0,1,0,0,1,0,1,/usr/lib/debug
10099875542855,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id
10099875662394,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/08
10099875676322,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/22
10099875689588,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/d6
10099875703939,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/56
10099875716687,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/48
10099875729546,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/e6
10099875742586,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/88
10099875755532,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/44
10099875768197,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/20
10099875781518,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/57
10099875796276,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/73
10099875808894,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/53
10099875822360,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/34
10099875835658,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/d7
10099875848780,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/b3
10099875861921,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/fc
10099875875052,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/8a
10099875920830,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/66
10099875941329,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/2c
10099875955391,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/5b
10099875969349,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/41
10099875983733,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/58
10099875997616,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/42
10099876010287,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/8c
10099876030262,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/11
10099876044197,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/0e
10099876058674,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/bc
10099876071387,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/3b
10099876084601,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/92
10099876098220,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/0c
10099876112668,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/9a
10099876125309,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/4e
10099876139638,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/a8
10099876152221,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/70
10099876166122,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/ff
10099876178887,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/ed
10099876192369,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/8b
10099876206497,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/93
10099876219286,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/b6
10099876233290,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/7a
10099876246684,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/b7
10099876259338,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/25
10099876272202,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/c4
10099876284785,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/23
10099876297578,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/80
10099876311987,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/cc
10099876324858,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/fb
10099876339720,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/a5
10099876352472,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/79
10099876365188,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/98
10099876378906,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/9e
10099876392289,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/45
10099876408217,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/2a
10099876421050,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/f3
10099876434756,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/5e
10099876449797,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/43
10099876464211,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/fd
10099876478446,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/a2
10099876492430,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/c5
10099876505460,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/a1
10099876518771,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/7c
10099876531862,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/2e
10099876545280,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/68
10099876558965,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/6c
10099876572423,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/da
10099876586358,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/db
10099876600043,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/6e
10099876613316,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/6b
10099876627568,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/76
10099876640837,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/74
10099876654351,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/95
10099876666950,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/d8
10099876679679,5066,0,1,0,0,1,0,1,/usr/lib/debug/.build-id/cf
