TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
2642724971510,3107,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
2642730487382,3107,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
2642731037655,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642731298981,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642731307610,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642732351401,3107,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
2642732417611,3107,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
2642745717816,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642745838404,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642745845899,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642745880448,3107,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
2642745894502,3107,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
2642746048409,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642746132252,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642746139503,3107,0,0,0,0,0,0,0,/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1
2642747118757,3107,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/type
2642747133171,3107,0,0,0,0,0,0,0,/sys/bus/event_source/devices/uprobe/format/retprobe
2642747308071,3107,0,0,0,0,0,0,0,/proc/self/status
2642747346004,3107,0,0,0,0,0,0,0,/proc/mounts
2643725993247,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
2643731535235,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
2643732138842,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
2643732520310,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-minimize-symbolic
2643732818337,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-maximize-symbolic
2643765229495,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
2643765799624,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
2643766097010,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
2643766436259,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-minimize-symbolic
2643766737367,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-maximize-symbolic
2643774179600,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
2643774733668,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
2643775032437,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
2643795281578,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
2643795813811,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
2643796147329,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
2643796481105,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-minimize-symbolic
2643796771105,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/window-maximize-symbolic
2643840082640,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
2643840612438,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
2643840943205,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
2643884404138,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/tab-new-symbolic.svg
2643888804485,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/open-menu-symbolic.svg
2643889416826,1380,0,0,0,0,0,0,0,/usr/share/icons/Yaru/scalable/actions/edit-find-symbolic.svg
2645113707040,3108,0,0,0,0,0,0,0,/etc/hosts
2648010335712,585,0,0,0,0,0,0,0,/proc/interrupts
2648010445312,585,0,0,0,0,0,0,0,/proc/stat
2650494522691,523,0,0,0,0,0,0,0,/etc/resolv.conf
2650494640584,532,0,0,0,0,0,0,0,/etc/hosts
2650494655737,1,0,0,0,0,0,0,0,/proc/523/cgroup
2651831529312,1470,0,0,0,0,0,0,0,/home/ransomware/ransomware/
2651860561249,257,0,0,0,0,0,0,0,/proc/522/comm
2651860642268,257,0,0,0,0,0,0,0,/proc/522/cmdline
2651860659776,257,0,0,0,0,0,0,0,/proc/522/status
2651860681738,257,0,0,0,0,0,0,0,/proc/522/attr/current
2651860692968,257,0,0,0,0,0,0,0,/proc/522/sessionid
2651860702320,257,0,0,0,0,0,0,0,/proc/522/loginuid
2651860710451,257,0,0,0,0,0,0,0,/proc/522/cgroup
2651860757932,257,0,0,0,0,0,0,0,/run/systemd/units/log-extra-fields:systemd-resolved.service
2651860793436,257,0,0,0,0,0,0,0,/run/log/journal/69f45648754d43749dc82514bea883f3/system.journa
2653065695479,3109,0,0,0,0,0,0,0,/etc/ld.so.cache
2653065729550,3109,0,0,0,0,0,0,0,/lib/x86_64-linux-gnu/libdl.so.2
2653065772043,3109,0,0,0,0,0,0,0,/lib/x86_64-linux-gnu/libstdc++.so.6
2653065841766,3109,0,0,0,0,0,0,0,/lib/x86_64-linux-gnu/libm.so.6
2653065876674,3109,0,0,0,0,0,0,0,/lib/x86_64-linux-gnu/libgcc_s.so.1
2653065908724,3109,0,0,0,0,0,0,0,/lib/x86_64-linux-gnu/libpthread.so.0
2653065945502,3109,0,0,0,0,0,0,0,/lib/x86_64-linux-gnu/libc.so.6
2653067249427,3109,1,0,0,0,0,0,0,iFire.pid
2653071044687,3112,0,0,0,0,0,0,0,/
2653071185701,3112,1,0,0,0,0,0,0,/iFire-readme.txt
2653071270126,3112,0,0,0,0,0,0,0,/cdrom
2653071295947,3112,1,0,0,0,0,0,0,/cdrom/iFire-readme.txt
2653071336071,3112,0,0,0,0,0,0,0,/dev
2653071805308,3112,1,0,0,0,0,0,0,/dev/iFire-readme.txt
2653071842912,3112,0,0,0,0,0,0,0,/dev/dma_heap
2653071854303,3112,1,0,0,0,0,0,0,/dev/dma_heap/iFire-readme.txt
2653071919847,3112,0,0,0,0,0,0,0,/dev/net
2653071934762,3112,1,0,0,0,0,0,0,/dev/net/iFire-readme.txt
2653071972449,3112,0,0,0,0,0,0,0,/dev/vfio
2653071988386,3112,1,0,0,0,0,0,0,/dev/vfio/iFire-readme.txt
2653072022554,3112,0,0,0,0,0,0,0,/dev/bus
2653072031818,3112,1,0,0,0,0,0,0,/dev/bus/iFire-readme.txt
2653072065073,3112,0,0,0,0,0,0,0,/dev/bus/usb
2653072076189,3112,1,0,0,0,0,0,0,/dev/bus/usb/iFire-readme.txt
2653072111889,3112,0,0,0,0,0,0,0,/dev/bus/usb/001
2653072123710,3112,1,0,0,0,0,0,0,/dev/bus/usb/001/iFire-readme.txt
2653072156832,3112,0,0,0,0,0,0,0,/dev/bus/usb/002
2653072171655,3112,1,0,0,0,0,0,0,/dev/bus/usb/002/iFire-readme.txt
2653072202959,3112,0,0,0,0,0,0,0,/dev/bus/usb/003
2653072217978,3112,1,0,0,0,0,0,0,/dev/bus/usb/003/iFire-readme.txt
2653072251672,3112,0,0,0,0,0,0,0,/dev/bus/usb/004
2653072261827,3112,1,0,0,0,0,0,0,/dev/bus/usb/004/iFire-readme.txt
2653072293848,3112,0,0,0,0,0,0,0,/dev/input
2653072331358,3112,1,0,0,0,0,0,0,/dev/input/iFire-readme.txt
2653072363824,3112,0,0,0,0,0,0,0,/dev/input/by-path
2653072389065,3112,1,0,0,0,0,0,0,/dev/input/by-path/iFire-readme.txt
2653072424835,3112,0,0,0,0,0,0,0,/dev/input/by-id
2653072437068,3112,1,0,0,0,0,0,0,/dev/input/by-id/iFire-readme.txt
2653072472435,3112,0,0,0,0,0,0,0,/dev/mapper
2653072482511,3112,1,0,0,0,0,0,0,/dev/mapper/iFire-readme.txt
2653072519651,3112,0,0,0,0,0,0,0,/dev/pts
2653072533957,3112,1,0,0,0,0,0,0,/dev/pts/iFire-readme.txt
2653072567186,3112,0,0,0,0,0,0,0,/dev/char
2653072732830,3112,1,0,0,0,0,0,0,/dev/char/iFire-readme.txt
2653072767865,3112,0,0,0,0,0,0,0,/dev/virtio-ports
2653072777462,3112,1,0,0,0,0,0,0,/dev/virtio-ports/iFire-readme.txt
2653072812085,3112,0,0,0,0,0,0,0,/dev/block
2653072852284,3112,1,0,0,0,0,0,0,/dev/block/iFire-readme.txt
2653072886369,3112,0,0,0,0,0,0,0,/dev/disk
2653072900464,3112,1,0,0,0,0,0,0,/dev/disk/iFire-readme.txt
2653072934449,3112,0,0,0,0,0,0,0,/dev/disk/by-path
2653072945906,3112,1,0,0,0,0,0,0,/dev/disk/by-path/iFire-readme.txt
2653072979967,3112,0,0,0,0,0,0,0,/dev/disk/by-partuuid
2653072993913,3112,1,0,0,0,0,0,0,/dev/disk/by-partuuid/iFire-readme.txt
2653073068514,3112,0,0,0,0,0,0,0,/dev/disk/by-uuid
2653073086041,3112,1,0,0,0,0,0,0,/dev/disk/by-uuid/iFire-readme.txt
2653073127694,3112,0,0,0,0,0,0,0,/dev/disk/by-id
2653073140884,3112,1,0,0,0,0,0,0,/dev/disk/by-id/iFire-readme.txt
2653073169020,3117,0,0,0,0,0,0,0,/dev/bsg
2653073175339,3112,0,0,0,0,0,0,0,/dev/shm
2653073188381,3112,1,1,0,0,0,1,1,/dev/shm/iFire-readme.txt
2653073197654,3117,1,0,0,0,0,0,0,/dev/bsg/iFire-readme.txt
2653073271199,3111,0,0,0,0,0,0,0,/dev/hugepages
2653073295507,3117,0,0,0,0,0,0,0,/dev/mqueue
2653073350644,3117,1,0,0,0,0,0,0,/dev/mqueue/iFire-readme.txt
2653073423818,3112,0,1,0,0,0,1,1,/dev/cpu
2653073428374,3117,0,0,0,0,0,0,0,/dev/snd
2653073438051,3112,1,1,0,0,0,1,1,/dev/cpu/iFire-readme.txt
2653073450465,3117,1,0,0,0,0,0,0,/dev/snd/iFire-readme.txt
2653073471366,3112,0,1,0,0,0,1,1,/dev/snd/by-path
2653073485809,3112,1,1,0,0,0,1,1,/dev/snd/by-path/iFire-readme.txt
2653073487942,3117,0,0,0,0,0,0,0,/dev/cpu/0
2653073498210,3117,1,0,0,0,0,0,0,/dev/cpu/0/iFire-readme.txt
2653073518172,3112,0,1,0,0,0,1,1,/dev/cpu/1
2653073529752,3117,0,0,0,0,0,0,0,/dev/dri
2653073533505,3112,1,1,0,0,0,1,1,/dev/cpu/1/iFire-readme.txt
2653073540159,3117,1,0,0,0,0,0,0,/dev/dri/iFire-readme.txt
2653073565069,3112,0,1,0,0,0,1,1,/dev/dri/by-path
2653073572212,3117,0,0,0,0,0,0,0,/etc
2653073574483,3112,1,1,0,0,0,1,1,/dev/dri/by-path/iFire-readme.txt
2653073607242,3112,0,1,0,0,0,1,1,/opt
2653073623338,3112,1,1,0,0,0,1,1,/opt/iFire-readme.txt
2653073658192,3112,0,1,0,0,0,1,1,/mnt
2653073672141,3112,1,1,0,0,0,1,1,/mnt/iFire-readme.txt
2653073715846,3112,0,1,0,0,0,1,1,/home
2653073734385,3112,1,1,0,0,0,1,1,/home/iFire-readme.txt
2653073771737,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln
2653073846234,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/iFire-readme.txt
2653073901877,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/index.html.1
2653073907233,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/index.html
2653073910913,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/index.html.2
2653073914605,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples
2653073953418,3117,1,0,0,0,0,0,0,/etc/iFire-readme.txt
2653073996839,3117,0,0,0,0,0,0,0,/etc/pki
2653074067654,3117,1,0,0,0,0,0,0,/etc/pki/iFire-readme.txt
2653074111600,3117,0,0,0,0,0,0,0,/etc/pki/fwupd-metadata
2653074601780,3117,1,0,0,0,0,0,0,/etc/pki/fwupd-metadata/iFire-readme.txt
2653074640778,3117,0,0,0,0,0,0,0,/etc/pki/fwupd
2653074947426,3117,1,0,0,0,0,0,0,/etc/pki/fwupd/iFire-readme.txt
2653074990940,3117,0,0,0,0,0,0,0,/etc/modprobe.d
2653075033978,3117,1,0,0,0,0,0,0,/etc/modprobe.d/iFire-readme.txt
2653075076055,3117,0,0,0,0,0,0,0,/etc/iproute2
2653075166375,3117,1,0,0,0,0,0,0,/etc/iproute2/iFire-readme.txt
2653075203104,3117,0,0,0,0,0,0,0,/etc/iproute2/rt_protos.d
2653075208832,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/iFire-readme.txt
2653075249401,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/README.md
2653075253816,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git
2653075276937,3111,1,0,0,0,0,0,0,/dev/hugepages/iFire-readme.txt
2653075408113,3111,0,0,0,0,0,0,0,/etc/iproute2/rt_tables.d
2653075479560,3116,0,0,0,0,0,0,0,/etc/dhcp
2653075814614,3111,1,0,0,0,0,0,0,/etc/iproute2/rt_tables.d/iFire-readme.txt
2653075924853,3111,0,0,0,0,0,0,0,/etc/NetworkManager
2653075958665,3111,1,0,0,0,0,0,0,/etc/NetworkManager/iFire-readme.txt
2653075996476,3111,0,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d
2653076023000,3111,1,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/iFire-readme.txt
2653076061603,3111,0,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/pre-down.d
2653076067439,3117,1,0,0,0,0,0,0,/etc/iproute2/rt_protos.d/iFire-readme.txt
2653076189448,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/iFire-readme.txt
2653076212719,3117,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs
2653076229156,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs
2653076294155,3116,1,0,0,0,0,0,0,/etc/dhcp/iFire-readme.txt
2653076344492,3116,0,0,0,0,0,0,0,/etc/dhcp/dhclient-exit-hooks.d
2653076411645,3111,1,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/pre-down.d/iFire-readme.txt
2653076449842,3111,0,0,0,0,0,0,0,/etc/dhcp/dhclient-enter-hooks.d
2653076702270,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/iFire-readme.
2653076742352,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/remotes
2653076790821,3117,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/iFire-readme.
2653076847756,3111,1,0,0,0,0,0,0,/etc/dhcp/dhclient-enter-hooks.d/iFire-readme.txt
2653076887586,3111,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs
2653076981586,3116,1,0,0,0,0,0,0,/etc/dhcp/dhclient-exit-hooks.d/iFire-readme.txt
2653077089155,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/tags
2653077106114,3117,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/heads
2653077148660,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/remotes/iFire
2653077188699,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/remotes/origi
2653077320576,3111,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/iFire-re
2653077363695,3111,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/remotes
2653077524851,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/remotes/origi
2653077564028,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/heads
2653077621824,3116,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/tags/iFire-re
2653077662683,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks
2653077885573,3117,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/refs/heads/iFire-r
2653077924431,3117,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/remotes/
2653077925448,3111,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/remotes/
2653077973271,3111,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/info
2653078009872,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/heads/iF
2653078046971,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/objects
2653078155711,3116,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/iFire-readme
2653078201307,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/pre-merge-co
2653078207036,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/pre-rebase.s
2653078211073,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/pre-applypat
2653078215427,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/fsmonitor-wa
2653078219227,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/pre-commit.s
2653078223265,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/pre-receive.
2653078226958,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/prepare-comm
2653078230747,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/pre-push.sam
2653078234636,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/commit-msg.s
2653078238575,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/update.sampl
2653078242280,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/post-update.
2653078246226,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/hooks/applypatch-m
2653078250185,3116,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/branches
2653078298050,3117,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/logs/refs/remotes/
2653078300846,3111,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/info/iFire-readme.
2653078338177,3117,0,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/pre-up.d
2653078344029,3111,0,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/no-wait.d
2653078356794,3117,1,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/pre-up.d/iFire-readme.txt
2653078527735,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/objects/iFire-read
2653078535775,3117,0,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/objects/pack
2653078565483,3112,0,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/objects/info
2653078748939,3111,1,0,0,0,0,0,0,/etc/NetworkManager/dispatcher.d/no-wait.d/iFire-readme.txt
2653078786634,3111,0,0,0,0,0,0,0,/etc/NetworkManager/conf.d
2653078807174,3111,1,0,0,0,0,0,0,/etc/NetworkManager/conf.d/iFire-readme.txt
2653078841416,3111,0,0,0,0,0,0,0,/etc/NetworkManager/dnsmasq.d
2653078894370,3117,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/objects/pack/iFire
2653078920661,3112,1,1,0,0,0,1,1,/home/ubuntu-vuln/Linux-Malware-Samples/.git/objects/info/iFire
2653078958121,3112,0,1,0,0,0,1,1,/etc/NetworkManager/dnsmasq-shared.d
2653079009619,3116,1,0,0,0,0,0,0,/home/ubuntu-vuln/Linux-Malware-Samples/.git/branches/iFire-rea
2653079047816,3116,0,0,0,0,0,0,0,/etc/NetworkManager/system-connections
2653079070093,3116,1,0,0,0,0,0,0,/etc/NetworkManager/system-connections/iFire-readme.txt
2653079111183,3116,0,0,0,0,0,0,0,/etc/avahi
2653079154089,3111,1,0,0,0,0,0,0,/etc/NetworkManager/dnsmasq.d/iFire-readme.txt
2653079157473,3117,0,0,0,0,0,0,0,/etc/logrotate.d
2653079193753,3111,0,0,0,0,0,0,0,/etc/update-notifier
2653079212773,3111,1,0,0,0,0,0,0,/etc/update-notifier/iFire-readme.txt
2653079251039,3111,0,0,0,0,0,0,0,/etc/libblockdev
2653079273959,3111,1,0,0,0,0,0,0,/etc/libblockdev/iFire-readme.txt
2653079311277,3111,0,0,0,0,0,0,0,/etc/libblockdev/conf.d
2653079333135,3111,1,0,0,0,0,0,0,/etc/libblockdev/conf.d/iFire-readme.txt
2653079398076,3111,0,0,0,0,0,0,0,/etc/cron.monthly
2653079452922,3112,1,1,0,0,0,1,1,/etc/NetworkManager/dnsmasq-shared.d/iFire-readme.txt
2653079489940,3112,0,1,0,0,0,1,1,/etc/acpi
2653079585064,3112,1,1,0,0,0,1,1,/etc/acpi/iFire-readme.txt
2653079619607,3112,0,1,0,0,0,1,1,/etc/acpi/events
2653079620285,3117,1,0,0,0,0,0,0,/etc/logrotate.d/iFire-readme.txt
2653079658197,3112,1,1,0,0,0,1,1,/etc/acpi/events/iFire-readme.txt
2653079695392,3112,0,1,0,0,0,1,1,/etc/opt
2653079779108,3116,1,0,0,0,0,0,0,/etc/avahi/iFire-readme.txt
2653079817331,3116,0,0,0,0,0,0,0,/etc/avahi/services
2653079860276,3117,0,0,0,0,0,0,0,/etc/usb_modeswitch.d
2653079881761,3111,1,0,0,0,0,0,0,/etc/cron.monthly/iFire-readme.txt
2653079956200,3111,0,0,0,0,0,0,0,/etc/rcS.d
2653079979021,3116,1,0,0,0,0,0,0,/etc/avahi/services/iFire-readme.txt
2653080013714,3116,0,0,0,0,0,0,0,/etc/ppp
2653080110269,3116,1,0,0,0,0,0,0,/etc/ppp/iFire-readme.txt
2653080146124,3116,0,0,0,0,0,0,0,/etc/ppp/ip-up.d
2653080199685,3112,1,1,0,0,0,1,1,/etc/opt/iFire-readme.txt
2653080237180,3112,0,1,0,0,1,1,1,/etc/ppp/ipv6-up.d
2653080273856,3111,1,0,0,0,0,0,0,/etc/rcS.d/iFire-readme.txt
2653080309672,3111,0,0,0,0,0,0,0,/etc/ppp/ip-down.d
2653080355237,3111,1,0,0,0,0,0,0,/etc/ppp/ip-down.d/iFire-readme.txt
2653080399248,3111,0,0,0,0,0,0,0,/etc/ppp/ipv6-down.d
2653080434803,3116,1,0,0,0,0,0,0,/etc/ppp/ip-up.d/iFire-readme.txt
2653080496952,3116,0,0,0,0,0,0,0,/etc/ppp/peers
2653080512881,3116,1,0,0,0,0,0,0,/etc/ppp/peers/iFire-readme.txt
2653080548040,3116,0,0,0,0,0,0,0,/etc/emacs
2653080592810,3112,1,1,0,0,1,1,1,/etc/ppp/ipv6-up.d/iFire-readme.txt
2653080640964,3112,0,1,0,0,1,1,1,/etc/brltty
2653080671468,3111,1,0,0,0,0,0,0,/etc/ppp/ipv6-down.d/iFire-readme.txt
2653080708981,3111,0,0,0,0,0,0,0,/etc/skel
2653080782303,3116,1,0,0,0,0,0,0,/etc/emacs/iFire-readme.txt
2653080821109,3116,0,0,0,0,0,0,0,/etc/emacs/site-start.d
2653081215170,3111,1,0,0,0,0,0,0,/etc/skel/iFire-readme.txt
2653081219404,3117,1,0,0,0,0,0,0,/etc/usb_modeswitch.d/iFire-readme.txt
2653081253937,3111,0,0,0,0,0,0,0,/etc/speech-dispatcher
2653081263423,3117,0,0,0,0,0,0,0,/etc/ubuntu-advantage
2653081309859,3112,1,1,0,0,1,1,1,/etc/brltty/iFire-readme.txt
2653081349468,3112,0,1,0,0,1,1,1,/etc/brltty/Keyboard
2653081425555,3116,1,0,0,0,0,0,0,/etc/emacs/site-start.d/iFire-readme.txt
2653081461491,3116,0,0,0,0,0,0,0,/etc/brltty/Attributes
2653081645449,3117,1,0,0,0,0,0,0,/etc/ubuntu-advantage/iFire-readme.txt
2653081677641,3111,1,0,0,0,0,0,0,/etc/speech-dispatcher/iFire-readme.txt
2653081688081,3117,0,0,0,0,0,0,0,/etc/speech-dispatcher/modules
2653081718847,3111,0,0,0,0,0,0,0,/etc/speech-dispatcher/clients
2653081797537,3112,1,1,0,0,1,1,1,/etc/brltty/Keyboard/iFire-readme.txt
2653081834334,3112,0,1,0,0,1,1,1,/etc/brltty/Input
2653081881673,3116,1,0,0,0,0,0,0,/etc/brltty/Attributes/iFire-readme.txt
2653081917367,3116,0,0,0,0,0,0,0,/etc/brltty/Contraction
2653081972825,3111,1,0,0,0,0,0,0,/etc/speech-dispatcher/clients/iFire-readme.txt
